time,source,destination,rssi_dbm,snr_db,packet_received,pdr,latency_ms,drop_reason,condition
1788859728.825,3,1,-46.369,73.631,1,0.750,407.645,,DEGRADED
1788859728.825,3,2,-39.301,80.699,1,1.000,413.817,,NORMAL
1788859729.872,1,2,-39.443,80.557,1,1.000,406.035,,NORMAL
1788859729.872,1,3,-46.376,73.624,1,0.600,413.312,,DEGRADED
1788859729.872,2,1,-39.443,80.557,1,1.000,396.572,,NORMAL
1788859729.873,2,3,-39.302,80.698,1,1.000,401.296,,NORMAL
1788859729.873,3,1,-46.376,73.624,1,0.750,406.528,,DEGRADED
1788859729.873,3,2,-39.302,80.698,1,1.000,397.631,,NORMAL
1788859730.918,1,2,-39.497,80.503,1,1.000,409.139,,NORMAL
1788859730.918,1,3,-46.388,73.612,0,0.500,405.154,channel_loss,DEGRADED
1788859730.918,1,2,-39.497,80.503,1,1.000,396.753,,NORMAL
1788859730.918,2,3,-39.283,80.717,1,1.000,403.785,,NORMAL
1788859730.919,2,1,-39.497,80.503,1,1.000,400.151,,NORMAL
1788859730.919,2,3,-39.283,80.717,1,1.000,414.382,,NORMAL
1788859730.919,3,1,-46.388,73.612,1,1.000,406.648,,NORMAL
1788859730.919,3,2,-39.283,80.717,0,0.800,415.135,channel_loss,DEGRADED
1788859730.919,3,1,-46.388,73.612,1,1.000,400.534,,NORMAL
1788859730.920,1,2,-39.497,80.503,1,1.000,410.269,,NORMAL
1788859731.964,1,2,-39.554,80.446,1,1.000,408.174,,NORMAL
1788859731.964,1,3,-46.425,73.575,1,0.750,398.774,,DEGRADED
1788859731.964,2,1,-39.554,80.446,1,1.000,407.840,,NORMAL
1788859731.964,2,3,-39.278,80.722,1,1.000,396.969,,NORMAL
1788859731.964,3,1,-46.425,73.575,1,1.000,401.810,,NORMAL
1788859731.965,3,2,-39.278,80.722,1,0.800,412.299,,DEGRADED
1788859732.996,1,2,-39.589,80.411,1,1.000,409.018,,NORMAL
